Body mass SAR,Head mass SAR,time
0.0,0.0,0.0031899999999999997
11.521389333660874,0.9373725048571766,0.00399
0.0,0.0,0.00463
0.0,0.0,0.00469
0.0,0.0,0.00533
0.0,0.0,0.00539
0.0,0.0,0.00603
0.0,0.0,0.00609
0.0,0.0,0.00673
0.0,0.0,0.00679
0.0,0.0,0.00743
0.0,0.0,0.00749
0.0,0.0,0.00813
0.0,0.0,0.00819
0.0,0.0,0.00883
0.0,0.0,0.008889999999999999
0.0,0.0,0.009529999999999999
0.0,0.0,0.009589999999999998
0.0,0.0,0.010229999999999998
0.0,0.0,0.010289999999999997
0.0,0.0,0.010929999999999997
0.0,0.0,0.010989999999999996
0.0,0.0,0.011629999999999996
0.0,0.0,0.011689999999999996
0.0,0.0,0.012329999999999995
0.0,0.0,0.012389999999999995
0.0,0.0,0.013029999999999995
0.0,0.0,0.013089999999999994
0.0,0.0,0.013729999999999994
0.0,0.0,0.013789999999999993
0.0,0.0,0.014429999999999993
0.0,0.0,0.014489999999999992
0.0,0.0,0.015129999999999992
0.0,0.0,0.015189999999999992
0.0,0.0,0.015829999999999993
0.0,0.0,0.015889999999999994
0.0,0.0,0.016529999999999996
0.0,0.0,0.016589999999999997
0.0,0.0,0.01723
0.0,0.0,0.01729
0.0,0.0,0.01793
0.0,0.0,0.017990000000000003
0.0,0.0,0.018630000000000004
0.0,0.0,0.018690000000000005
0.0,0.0,0.019330000000000007
0.0,0.0,0.019390000000000008
0.0,0.0,0.02003000000000001
0.0,0.0,0.02009000000000001
0.0,0.0,0.020730000000000012
0.0,0.0,0.020790000000000013
0.0,0.0,0.021430000000000015
0.0,0.0,0.021490000000000016
0.0,0.0,0.022130000000000018
0.0,0.0,0.02219000000000002
0.0,0.0,0.02283000000000002
0.0,0.0,0.02289000000000002
0.0,0.0,0.023530000000000023
0.0,0.0,0.023590000000000024
0.0,0.0,0.024230000000000026
0.0,0.0,0.024290000000000027
0.0,0.0,0.02493000000000003
0.0,0.0,0.02499000000000003
0.0,0.0,0.02563000000000003
0.0,0.0,0.025690000000000032
0.0,0.0,0.026330000000000034
0.0,0.0,0.026390000000000035
0.0,0.0,0.027030000000000037
0.0,0.0,0.027090000000000038
0.0,0.0,0.02773000000000004
0.0,0.0,0.02779000000000004
0.0,0.0,0.028430000000000042
0.0,0.0,0.028490000000000043
0.0,0.0,0.029130000000000045
0.0,0.0,0.029190000000000046
0.0,0.0,0.029830000000000047
0.0,0.0,0.02989000000000005
0.0,0.0,0.03053000000000005
0.0,0.0,0.03059000000000005
0.0,0.0,0.031230000000000053
0.0,0.0,0.031290000000000054
0.0,0.0,0.031930000000000056
0.0,0.0,0.03199000000000005
0.0,0.0,0.032630000000000055
0.0,0.0,0.03269000000000005
0.0,0.0,0.033330000000000054
0.0,0.0,0.03339000000000005
0.0,0.0,0.03403000000000005
0.0,0.0,0.03409000000000005
0.0,0.0,0.03473000000000005
0.0,0.0,0.03479000000000005
0.0,0.0,0.03543000000000005
0.0,0.0,0.03549000000000005
0.0,0.0,0.03613000000000005
0.0,0.0,0.03619000000000005
0.0,0.0,0.03683000000000005
0.0,0.0,0.03689000000000005
0.0,0.0,0.03753000000000005
0.0,0.0,0.03759000000000005
0.0,0.0,0.03823000000000005
0.0,0.0,0.038290000000000046
0.0,0.0,0.03893000000000005
0.0,0.0,0.038990000000000045
0.0,0.0,0.03963000000000005
0.0,0.0,0.039690000000000045
0.0,0.0,0.040330000000000046
0.0,0.0,0.040390000000000044
0.0,0.0,0.041030000000000046
0.0,0.0,0.04109000000000004
0.0,0.0,0.041730000000000045
0.0,0.0,0.04179000000000004
0.0,0.0,0.042430000000000044
0.0,0.0,0.04249000000000004
0.0,0.0,0.04313000000000004
0.0,0.0,0.04319000000000004
0.0,0.0,0.04383000000000004
0.0,0.0,0.04389000000000004
0.0,0.0,0.04453000000000004
0.0,0.0,0.04459000000000004
0.0,0.0,0.04523000000000004
0.0,0.0,0.04529000000000004
0.0,0.0,0.04593000000000004
0.0,0.0,0.04599000000000004
0.0,0.0,0.04663000000000004
0.0,0.0,0.04669000000000004
0.0,0.0,0.04733000000000004
0.0,0.0,0.047390000000000036
0.0,0.0,0.04803000000000004
0.0,0.0,0.048090000000000035
0.0,0.0,0.04873000000000004
0.0,0.0,0.048790000000000035
0.0,0.0,0.05198000000000003
11.521389333660874,0.9373725048571766,0.052780000000000035
0.0,0.0,0.05342000000000004
0.0,0.0,0.053480000000000034
0.0,0.0,0.054120000000000036
0.0,0.0,0.054180000000000034
0.0,0.0,0.054820000000000035
0.0,0.0,0.05488000000000003
0.0,0.0,0.055520000000000035
0.0,0.0,0.05558000000000003
0.0,0.0,0.056220000000000034
0.0,0.0,0.05628000000000003
0.0,0.0,0.05692000000000003
0.0,0.0,0.05698000000000003
0.0,0.0,0.05762000000000003
0.0,0.0,0.05768000000000003
0.0,0.0,0.05832000000000003
0.0,0.0,0.05838000000000003
0.0,0.0,0.05902000000000003
0.0,0.0,0.05908000000000003
0.0,0.0,0.05972000000000003
0.0,0.0,0.05978000000000003
0.0,0.0,0.06042000000000003
0.0,0.0,0.06048000000000003
0.0,0.0,0.06112000000000003
0.0,0.0,0.061180000000000026
0.0,0.0,0.06182000000000003
0.0,0.0,0.061880000000000025
0.0,0.0,0.06252000000000002
0.0,0.0,0.06258000000000002
0.0,0.0,0.06322000000000003
0.0,0.0,0.06328000000000003
0.0,0.0,0.06392000000000003
0.0,0.0,0.06398000000000004
0.0,0.0,0.06462000000000004
0.0,0.0,0.06468000000000004
