Body mass SAR,Head mass SAR,time
0.0,0.0,0.00317
11.521389333660874,0.9373725048571766,0.0039700000000000004
0.0,0.0,0.00455
0.0,0.0,0.00461
0.0,0.0,0.00519
0.0,0.0,0.00525
0.0,0.0,0.00583
0.0,0.0,0.00589
0.0,0.0,0.00647
0.0,0.0,0.00653
0.0,0.0,0.00711
0.0,0.0,0.00717
0.0,0.0,0.00775
0.0,0.0,0.00781
0.0,0.0,0.00839
0.0,0.0,0.00845
0.0,0.0,0.00903
0.0,0.0,0.009089999999999999
0.0,0.0,0.00967
0.0,0.0,0.009729999999999999
0.0,0.0,0.01031
0.0,0.0,0.010369999999999999
0.0,0.0,0.01095
0.0,0.0,0.011009999999999999
0.0,0.0,0.01159
0.0,0.0,0.011649999999999999
0.0,0.0,0.01223
0.0,0.0,0.012289999999999999
0.0,0.0,0.01287
0.0,0.0,0.012929999999999999
0.0,0.0,0.01351
0.0,0.0,0.013569999999999999
0.0,0.0,0.01415
0.0,0.0,0.014209999999999999
0.0,0.0,0.01479
0.0,0.0,0.014849999999999999
0.0,0.0,0.01543
0.0,0.0,0.015489999999999999
0.0,0.0,0.016069999999999997
0.0,0.0,0.01613
0.0,0.0,0.01671
0.0,0.0,0.01677
0.0,0.0,0.01735
0.0,0.0,0.017410000000000002
0.0,0.0,0.017990000000000003
0.0,0.0,0.018050000000000004
0.0,0.0,0.018630000000000004
0.0,0.0,0.018690000000000005
0.0,0.0,0.019270000000000006
0.0,0.0,0.019330000000000007
0.0,0.0,0.019910000000000008
0.0,0.0,0.01997000000000001
0.0,0.0,0.02055000000000001
0.0,0.0,0.02061000000000001
0.0,0.0,0.02119000000000001
0.0,0.0,0.021250000000000012
0.0,0.0,0.021830000000000013
0.0,0.0,0.021890000000000014
0.0,0.0,0.022470000000000014
0.0,0.0,0.022530000000000015
0.0,0.0,0.023110000000000016
0.0,0.0,0.023170000000000017
0.0,0.0,0.023750000000000018
0.0,0.0,0.02381000000000002
0.0,0.0,0.02439000000000002
0.0,0.0,0.02445000000000002
0.0,0.0,0.02503000000000002
0.0,0.0,0.025090000000000022
0.0,0.0,0.025670000000000023
0.0,0.0,0.025730000000000024
0.0,0.0,0.026310000000000024
0.0,0.0,0.026370000000000025
0.0,0.0,0.026950000000000026
0.0,0.0,0.027010000000000027
0.0,0.0,0.027590000000000028
0.0,0.0,0.02765000000000003
0.0,0.0,0.02823000000000003
0.0,0.0,0.02829000000000003
0.0,0.0,0.02887000000000003
0.0,0.0,0.028930000000000032
0.0,0.0,0.029510000000000033
0.0,0.0,0.029570000000000034
0.0,0.0,0.030150000000000034
0.0,0.0,0.030210000000000035
0.0,0.0,0.030790000000000036
0.0,0.0,0.030850000000000037
0.0,0.0,0.031430000000000034
0.0,0.0,0.03149000000000003
0.0,0.0,0.03207000000000003
0.0,0.0,0.03213000000000003
0.0,0.0,0.032710000000000024
0.0,0.0,0.03277000000000002
0.0,0.0,0.03335000000000002
0.0,0.0,0.033410000000000016
0.0,0.0,0.03399000000000001
0.0,0.0,0.03405000000000001
0.0,0.0,0.03463000000000001
0.0,0.0,0.034690000000000006
0.0,0.0,0.03527
0.0,0.0,0.03533
0.0,0.0,0.03591
0.0,0.0,0.035969999999999995
0.0,0.0,0.03654999999999999
0.0,0.0,0.03660999999999999
0.0,0.0,0.03718999999999999
0.0,0.0,0.037249999999999985
0.0,0.0,0.03782999999999998
0.0,0.0,0.03788999999999998
0.0,0.0,0.038469999999999976
0.0,0.0,0.038529999999999974
0.0,0.0,0.03910999999999997
0.0,0.0,0.03916999999999997
0.0,0.0,0.039749999999999966
0.0,0.0,0.039809999999999963
0.0,0.0,0.04038999999999996
0.0,0.0,0.04044999999999996
0.0,0.0,0.041029999999999955
0.0,0.0,0.04108999999999995
0.0,0.0,0.04166999999999995
0.0,0.0,0.04172999999999995
0.0,0.0,0.042309999999999945
0.0,0.0,0.04236999999999994
0.0,0.0,0.04294999999999994
0.0,0.0,0.04300999999999994
0.0,0.0,0.043589999999999934
0.0,0.0,0.04364999999999993
0.0,0.0,0.04422999999999993
0.0,0.0,0.04428999999999993
0.0,0.0,0.044869999999999924
0.0,0.0,0.04492999999999992
